City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
285,Sisimiut,GL,2020-04-24 03:10:34,66.94,-53.67,34.0,89,6,2.98
286,Maraa,BR,2020-04-24 03:10:34,-1.83,-65.37,74.55,90,64,1.7
287,Pangnirtung,CA,2020-04-24 03:10:35,66.15,-65.71,23.02,89,100,3.67
288,San Severo,IT,2020-04-24 03:10:35,41.69,15.38,46.4,81,5,4.7
289,Ponta Do Sol,PT,2020-04-24 03:10:35,32.67,-17.1,60.8,63,20,9.17
290,Tawau,MY,2020-04-24 03:10:36,4.25,117.89,84.2,83,20,1.12
291,Alappuzha,IN,2020-04-24 03:10:36,9.49,76.33,85.53,76,93,5.14
292,Vestmannaeyjar,IS,2020-04-24 03:10:36,63.44,-20.27,45.01,89,33,22.21
293,Esperance,AU,2020-04-24 03:10:36,-33.87,121.9,71.6,60,75,9.17
294,Murray Bridge,AU,2020-04-24 03:10:36,-35.12,139.27,68.0,67,30,5.01
295,Nagua,DO,2020-04-24 03:10:37,19.38,-69.85,76.3,88,15,8.08
296,Aripuana,BR,2020-04-24 03:10:37,-9.17,-60.63,73.92,92,63,1.5
297,Rabak,SD,2020-04-24 03:10:37,13.18,32.74,76.42,13,22,5.95
298,Taoudenni,ML,2020-04-24 03:10:37,22.68,-3.98,84.61,13,0,7.72
299,Umm Lajj,SA,2020-04-24 03:10:37,25.02,37.27,72.93,67,0,2.06
300,Inongo,CD,2020-04-24 03:10:38,-1.95,18.27,73.38,76,2,1.7
301,Bongandanga,CD,2020-04-24 03:10:38,1.5,21.05,72.16,85,91,0.69
302,Port Hawkesbury,CA,2020-04-24 03:10:38,45.62,-61.35,37.0,59,1,10.29
303,Sinnamary,GF,2020-04-24 03:10:38,5.38,-52.95,78.67,82,79,12.8
304,Teya,RU,2020-04-24 03:10:39,60.38,92.63,55.33,70,100,7.29
